Tip,Broj lamela,Broj uzoraka,MAE,R²
FŽ,4,13,0.021,0.9999
FŽ,5,27,0.024,1.0
FŽ,6,18,0.0,1.0
FŽ,7,24,0.022,1.0
FŽ,8,30,0.025,0.9999
FŽ,9,23,0.025,0.9999
FŽ,10,30,0.024,0.9999
FŽ,11,32,0.0,1.0
FŽ,12,26,0.023,0.9999
FŽ,13,30,0.026,0.9998
FŽ,14,26,0.025,0.9998
FŽ,15,27,0.025,0.9997
FŽ,16,24,0.021,0.9998
FŽ,17,21,0.024,0.9998
FŽ,18,28,0.024,0.9997
FŽ,19,28,0.025,0.9995
FŽ,20,29,0.022,0.9996
FŽ,21,28,0.028,0.9993
FŽ,22,29,0.025,0.9995
FŽ,23,30,0.027,0.9993
FŽ,24,17,0.022,0.9987
PŽ-S,3,3,0.0,1.0
PŽ-S,4,20,0.019,1.0
PŽ-S,5,18,0.023,1.0
PŽ-S,6,18,0.0,1.0
PŽ-S,7,18,0.03,0.9999
PŽ-S,8,17,0.023,0.9999
PŽ-S,9,17,0.025,0.9999
PŽ-S,10,17,0.021,0.9999
PŽ-S,11,17,0.0,1.0
PŽ-S,12,18,0.023,0.9998
PŽ-S,13,17,0.025,0.9998
PŽ-S,14,18,0.023,0.9997
PŽ-S,15,17,0.023,0.9997
PŽ-S,16,17,0.018,0.9998
PŽ-S,17,17,0.025,0.9996
PŽ-S,18,17,0.023,0.9995
PŽ-S,19,17,0.011,0.9999
PŽ-S,20,18,0.027,0.9993
PŽ-S,21,17,0.026,0.9993
PŽ-S,22,16,0.023,0.9992
