Evaluacija modela po tipu i broju lamela:

Tip: FŽ, Lamela: 4, MAE: 0.021, R²: 0.9999, Uzoraka: 13
Tip: FŽ, Lamela: 5, MAE: 0.024, R²: 1.0, Uzoraka: 27
Tip: FŽ, Lamela: 6, MAE: 0.0, R²: 1.0, Uzoraka: 18
Tip: FŽ, Lamela: 7, MAE: 0.022, R²: 1.0, Uzoraka: 24
Tip: FŽ, Lamela: 8, MAE: 0.025, R²: 0.9999, Uzoraka: 30
Tip: FŽ, Lamela: 9, MAE: 0.025, R²: 0.9999, Uzoraka: 23
Tip: FŽ, Lamela: 10, MAE: 0.024, R²: 0.9999, Uzoraka: 30
Tip: FŽ, Lamela: 11, MAE: 0.0, R²: 1.0, Uzoraka: 32
Tip: FŽ, Lamela: 12, MAE: 0.023, R²: 0.9999, Uzoraka: 26
Tip: FŽ, Lamela: 13, MAE: 0.026, R²: 0.9998, Uzoraka: 30
Tip: FŽ, Lamela: 14, MAE: 0.025, R²: 0.9998, Uzoraka: 26
Tip: FŽ, Lamela: 15, MAE: 0.025, R²: 0.9997, Uzoraka: 27
Tip: FŽ, Lamela: 16, MAE: 0.021, R²: 0.9998, Uzoraka: 24
Tip: FŽ, Lamela: 17, MAE: 0.024, R²: 0.9998, Uzoraka: 21
Tip: FŽ, Lamela: 18, MAE: 0.024, R²: 0.9997, Uzoraka: 28
Tip: FŽ, Lamela: 19, MAE: 0.025, R²: 0.9995, Uzoraka: 28
Tip: FŽ, Lamela: 20, MAE: 0.022, R²: 0.9996, Uzoraka: 29
Tip: FŽ, Lamela: 21, MAE: 0.028, R²: 0.9993, Uzoraka: 28
Tip: FŽ, Lamela: 22, MAE: 0.025, R²: 0.9995, Uzoraka: 29
Tip: FŽ, Lamela: 23, MAE: 0.027, R²: 0.9993, Uzoraka: 30
Tip: FŽ, Lamela: 24, MAE: 0.022, R²: 0.9987, Uzoraka: 17
Tip: PŽ-S, Lamela: 3, MAE: 0.0, R²: 1.0, Uzoraka: 3
Tip: PŽ-S, Lamela: 4, MAE: 0.019, R²: 1.0, Uzoraka: 20
Tip: PŽ-S, Lamela: 5, MAE: 0.023, R²: 1.0, Uzoraka: 18
Tip: PŽ-S, Lamela: 6, MAE: 0.0, R²: 1.0, Uzoraka: 18
Tip: PŽ-S, Lamela: 7, MAE: 0.03, R²: 0.9999, Uzoraka: 18
Tip: PŽ-S, Lamela: 8, MAE: 0.023, R²: 0.9999, Uzoraka: 17
Tip: PŽ-S, Lamela: 9, MAE: 0.025, R²: 0.9999, Uzoraka: 17
Tip: PŽ-S, Lamela: 10, MAE: 0.021, R²: 0.9999, Uzoraka: 17
Tip: PŽ-S, Lamela: 11, MAE: 0.0, R²: 1.0, Uzoraka: 17
Tip: PŽ-S, Lamela: 12, MAE: 0.023, R²: 0.9998, Uzoraka: 18
Tip: PŽ-S, Lamela: 13, MAE: 0.025, R²: 0.9998, Uzoraka: 17
Tip: PŽ-S, Lamela: 14, MAE: 0.023, R²: 0.9997, Uzoraka: 18
Tip: PŽ-S, Lamela: 15, MAE: 0.023, R²: 0.9997, Uzoraka: 17
Tip: PŽ-S, Lamela: 16, MAE: 0.018, R²: 0.9998, Uzoraka: 17
Tip: PŽ-S, Lamela: 17, MAE: 0.025, R²: 0.9996, Uzoraka: 17
Tip: PŽ-S, Lamela: 18, MAE: 0.023, R²: 0.9995, Uzoraka: 17
Tip: PŽ-S, Lamela: 19, MAE: 0.011, R²: 0.9999, Uzoraka: 17
Tip: PŽ-S, Lamela: 20, MAE: 0.027, R²: 0.9993, Uzoraka: 18
Tip: PŽ-S, Lamela: 21, MAE: 0.026, R²: 0.9993, Uzoraka: 17
Tip: PŽ-S, Lamela: 22, MAE: 0.023, R²: 0.9992, Uzoraka: 16
