H (mm),Broj lamela,Raster (a) (mm),Tip
240,3,75.0,PŽ-S
263,3,86.5,PŽ-S
264,3,87.0,PŽ-S
265,4,58.3,PŽ-S
268,4,59.3,PŽ-S
270,4,60.0,PŽ-S
272,4,60.7,PŽ-S
276,4,62.0,PŽ-S
281,4,63.7,PŽ-S
285,4,65.0,PŽ-S
290,4,66.7,PŽ-S
294,4,68.0,PŽ-S
299,4,69.7,PŽ-S
303,4,71.0,PŽ-S
308,4,72.7,PŽ-S
312,4,74.0,PŽ-S
315,4,75.0,PŽ-S
317,4,75.7,PŽ-S
321,4,77.0,PŽ-S
326,4,78.7,PŽ-S
330,4,80.0,PŽ-S
333,4,81.0,PŽ-S
334,4,81.3,PŽ-S
335,5,61.3,PŽ-S
339,5,62.3,PŽ-S
344,5,63.5,PŽ-S
348,5,64.5,PŽ-S
353,5,65.8,PŽ-S
357,5,66.8,PŽ-S
362,5,68.0,PŽ-S
366,5,69.0,PŽ-S
371,5,70.3,PŽ-S
375,5,71.3,PŽ-S
380,5,72.5,PŽ-S
384,5,73.5,PŽ-S
389,5,74.8,PŽ-S
390,5,75.0,PŽ-S
394,5,76.0,PŽ-S
398,5,77.0,PŽ-S
403,5,78.3,PŽ-S
404,5,78.5,PŽ-S
405,6,63.0,PŽ-S
407,6,63.4,PŽ-S
412,6,64.4,PŽ-S
416,6,65.2,PŽ-S
421,6,66.2,PŽ-S
425,6,67.0,PŽ-S
430,6,68.0,PŽ-S
434,6,68.8,PŽ-S
439,6,69.8,PŽ-S
443,6,70.6,PŽ-S
448,6,71.6,PŽ-S
452,6,72.4,PŽ-S
457,6,73.4,PŽ-S
461,6,74.2,PŽ-S
466,6,75.2,PŽ-S
470,6,76.0,PŽ-S
473,6,76.6,PŽ-S
474,6,76.8,PŽ-S
475,7,64.2,PŽ-S
479,7,64.8,PŽ-S
484,7,65.7,PŽ-S
488,7,66.3,PŽ-S
493,7,67.2,PŽ-S
497,7,67.8,PŽ-S
502,7,68.7,PŽ-S
506,7,69.3,PŽ-S
511,7,70.2,PŽ-S
515,7,70.8,PŽ-S
520,7,71.7,PŽ-S
524,7,72.3,PŽ-S
529,7,73.2,PŽ-S
533,7,73.8,PŽ-S
538,7,74.7,PŽ-S
540,7,75.0,PŽ-S
543,7,75.5,PŽ-S
544,7,75.7,PŽ-S
545,8,65.0,PŽ-S
547,8,65.3,PŽ-S
552,8,66.0,PŽ-S
556,8,66.6,PŽ-S
561,8,67.3,PŽ-S
565,8,67.9,PŽ-S
570,8,68.6,PŽ-S
574,8,69.1,PŽ-S
579,8,69.9,PŽ-S
583,8,70.4,PŽ-S
588,8,71.1,PŽ-S
592,8,71.7,PŽ-S
597,8,72.4,PŽ-S
601,8,73.0,PŽ-S
606,8,73.7,PŽ-S
610,8,74.3,PŽ-S
614,8,74.9,PŽ-S
615,9,65.6,PŽ-S
619,9,66.1,PŽ-S
624,9,66.8,PŽ-S
628,9,67.3,PŽ-S
633,9,67.9,PŽ-S
